elem_index,area_name,onrc,surf_class,treat_2022,reason_2022,comment_2022,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036
85,FIELD STREET_00432,Secondary Collector,seal,,,,,,,,,,ChipSeal,pdi =1.84; sdi =6.62; age =29,mesh_cracks =4.19; shoving =0.26; potholes =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,HASS DRIVE_0_id_7108,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PRESTONS RD_4510_id_1934,Arterial,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,SUMMIT RD_24806_id_2327,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.85; sdi =3.79; age =13.4,mesh_cracks =1.46; shoving =3; potholes =1.04,,,,,,,,,,,,,,,,ChipSeal,pdi =1.62; sdi =1.28; age =5,mesh_cracks =1.04; shoving =2.46; potholes =1.25
89,HERBERT STREET_802_id_139,Access,seal,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.78; sdi =0.97; age =20.4,mesh_cracks =1.14; shoving =0.9; potholes =0.89,,,,,,,,,,,,,,,,,,,,,
90,POOLES ROAD_402_id_471,Secondary Collector,ac,,,,,,,ThinAC,pdi =2.24; sdi =0.41; age =10.1,mesh_cracks =0.19; shoving =0.7; potholes =0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ACHILLES ST_330_id_2823,Secondary Collector,seal,,,,ChipSeal,pdi =3.04; sdi =3.52; age =26.6,mesh_cracks =6.5; shoving =3.5; potholes =0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CANAL ROAD_3000_id_151,Regional,seal,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.63; sdi =1.62; age =11.3,mesh_cracks =2.72; shoving =0.98; potholes =0.39,,,,,,,,,,,,,,,,,,,,,
93,TAURIKURA DRIVE (WESTBOUND)_1397_id_2137,Arterial,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RehabAC_UH,pdi =41.27; sdi =34.02; age =23.7,mesh_cracks =103.7; shoving =6.57; potholes =6.88,,,
94,LOOKER ROAD_15970_id_1716,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.13; sdi =1.96; age =25.3,mesh_cracks =2.2; shoving =1.82; potholes =1.81,,,,,,,,,
95,STEWART ST_0_id_2297,Secondary Collector,seal,,,,SecondCoat,pdi =100; sdi =100; age =23.1,mesh_cracks =405.75; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,HARPER AVE 2 SOUTH_697_id_2778,Regional,seal,,,,,,,,,,,,,ChipSeal,pdi =1.25; sdi =0.68; age =27,mesh_cracks =1.32; shoving =0.46; potholes =0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =3.53; sdi =5.1; age =10,mesh_cracks =7.38; shoving =1.46; potholes =0.72
97,BUCKLANDS CRESCENT_164_id_1365,Low Volume,ac,,,,,,,,,,,,,,,,,,,ThinAC,pdi =1.68; sdi =0.85; age =9.9,mesh_cracks =0.88; shoving =0.7; potholes =0.1,,,,,,,,,,,,,,,,,,,,,,,,
98,PINEHAVEN RD/WYNDHAM RD ROUNDABOUT_00000,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =1.81; sdi =1.65; age =14.1,mesh_cracks =1.87; shoving =1.29; potholes =0.87,,,,,,,,,,,,,,,,,,,,,
99,AROWHENUA STATION ROAD_1550_id_32,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.87; sdi =1.69; age =13.5,mesh_cracks =2.4; shoving =1.29; potholes =0.65
100,WINCHESTER-HANGING ROCK ROAD_12500_id_1015,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.66; sdi =1.51; age =13.6,mesh_cracks =1.82; shoving =1.24; potholes =0.64
101,WHARF STREET_267_id_661,Primary Collector,seal,,,,,,,,,,,,,,,,,,,RehabCS_UH,pdi =100; sdi =100; age =9.5,mesh_cracks =156.58; shoving =88.32; potholes =83.67,SecondCoat,pdi =0; sdi =0; age =0,mesh_cracks =0; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,
102,BUSCOT GATE_0_id_404,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,RehabAC_UL,pdi =42.21; sdi =25.21; age =42.5,mesh_cracks =66.08; shoving =22.21; potholes =20.58,,,,,,,,,,,,,,,
103,RABY LANE_0_id_7095,Access,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =1.54; sdi =1.36; age =19.8,mesh_cracks =0; shoving =0; potholes =0
104,TANCRED STREET (RAKAIA)_714_id_730,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.06; sdi =1.65; age =15.3,mesh_cracks =1.74; shoving =1.5; potholes =1.49,,,,,,,,,,,,
105,WHITBY ST_216_id_2610,Secondary Collector,seal,,,,,,,,,,ChipSeal,pdi =1.3; sdi =1.49; age =12.3,mesh_cracks =3.35; shoving =0.62; potholes =0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.69; sdi =3.09; age =11,mesh_cracks =1.79; shoving =1.47; potholes =1.03
