elem_index,area_name,onrc,surf_class,treat_2022,reason_2022,comment_2022,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036
91,ACHILLES ST_330_id_2823,Secondary Collector,seal,,,,ChipSeal,pdi =3.04; sdi =3.52; age =26.6,mesh_cracks =6.5; shoving =3.5; potholes =0.2,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =3.28; sdi =2.83; age =7,mesh_cracks =5.96; shoving =3.71; potholes =0.23,,,,,,,,,,,,,,,
92,CANAL ROAD_3000_id_151,Regional,seal,,,,,,,,,,,,,,,,ChipSeal,pdi =0.84; sdi =1.01; age =9.3,mesh_cracks =1.26; shoving =0.7; potholes =0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.36; sdi =1.63; age =9,mesh_cracks =2.3; shoving =0.86; potholes =0.43
93,TAURIKURA DRIVE (WESTBOUND)_1397_id_2137,Arterial,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RehabAC_UH,pdi =46.35; sdi =35.78; age =25.7,mesh_cracks =104.84; shoving =10.27; potholes =10.77
94,LOOKER ROAD_15970_id_1716,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.13; sdi =1.96; age =25.3,mesh_cracks =2.2; shoving =1.82; potholes =1.81,,,,,,,,,
95,STEWART ST_0_id_2297,Secondary Collector,seal,,,,SecondCoat,pdi =100; sdi =100; age =23.1,mesh_cracks =405.75; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,HARPER AVE 2 SOUTH_697_id_2778,Regional,seal,,,,,,,ChipSeal,pdi =0.28; sdi =0.18; age =25,mesh_cracks =0.34; shoving =0.13; potholes =0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =3.33; sdi =4.83; age =10,mesh_cracks =6.77; shoving =1.45; potholes =0.72,,,
97,BUCKLANDS CRESCENT_164_id_1365,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PINEHAVEN RD/WYNDHAM RD ROUNDABOUT_00000,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,AROWHENUA STATION ROAD_1550_id_32,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.22; sdi =1.96; age =14.5,mesh_cracks =2.9; shoving =1.48; potholes =0.83
100,WINCHESTER-HANGING ROCK ROAD_12500_id_1015,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,WHARF STREET_267_id_661,Primary Collector,seal,,,,,,,,,,,,,,,,,,,RehabCS_UH,pdi =100; sdi =100; age =9.5,mesh_cracks =156.58; shoving =88.32; potholes =83.67,SecondCoat,,,,,,,,,,,,,,,,,,,,,,,
102,BUSCOT GATE_0_id_404,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,RehabAC_UL,pdi =42.21; sdi =25.21; age =42.5,mesh_cracks =66.08; shoving =22.21; potholes =20.58,,,,,,,,,,,,,,,
103,RABY LANE_0_id_7095,Access,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,TANCRED STREET (RAKAIA)_714_id_730,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.65; sdi =1.34; age =14.3,mesh_cracks =1.41; shoving =1.24; potholes =1.23,,,,,,,,,,,,,,,
105,WHITBY ST_216_id_2610,Secondary Collector,seal,,,,,,,,,,,,,,,,ChipSeal,pdi =1.77; sdi =1.94; age =14.3,mesh_cracks =4.08; shoving =0.93; potholes =0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,MCLEANS ISLAND RD_8778_id_1588,Primary Collector,seal,,,,,,,,,,,,,ChipSeal,pdi =0.56; sdi =0.49; age =20.6,mesh_cracks =0.78; shoving =0.4; potholes =0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.38; sdi =1.71; age =10,mesh_cracks =2.23; shoving =1.02; potholes =0.41
